player_id,name,nationality,club,league,season,era,positions,goals,npxG,shots,shots_on_target,xG_per_shot,big_chances,assists,xA,key_passes,through_balls,chances_created,progressive_passes,progressive_carries,carries_into_box,passes_into_box,touches,possession_won,possession_lost,tackles,interceptions,blocks,clearances,pressures,counterpressures,saves,save_percentage,goals_prevented,possession_value,ball_progression_value,attacking_value,defensive_value,minutes,position_role,position_group,attack_score,creation_score,progression_score,defense_score,goalkeeper_score,attack_norm,creation_norm,progression_norm,defense_norm,goalkeeper_norm,AttackIoG,CreationIoG,ProgressionIoG,DefensiveIoG,GoalkeeperIoG,iog_raw,iog,position_percentile,rank_tier
103465,Baghdad Bounedjah,,Algeria,African Cup of Nations,2023,2020s,['ST'],3,1.8908923100000001,9,0,0.21009914555555556,0,0,0.0,0,0,32,0,0,7,4,0,0,10,0,0,4,3,42,0,0,0.0,0.0,-6.0,13.899999999999999,7.858160003,27.7,102,ST,ST,11.533903594666667,35.2,16.0,32.2,0.0,1.771456814528867,-0.20586478682498804,-0.10746717720330885,0.4864462559929675,-1.1452586134999518,33.14354111308903,18.647944061222223,18.328549810050596,36.42004744367576,6.145421244878711,0.931037287503782,86.48648648648648,86.1963190184049,Top 90%
8520,Nabil Bentaleb,,Algeria,African Cup of Nations,2023,2020s,['CDM'],0,0.107717924,1,0,0.107717924,0,0,0.0,0,0,118,0,0,1,0,0,2,14,0,2,2,0,19,0,1,100.0,0.0,-6.800000000000001,1.3,0.14003330120000002,13.9,102,CDM,CDM,0.3446973568,129.8,1.6,16.4,182.5,-0.09280875045821048,0.5545602755347936,-0.2360249256363176,-0.42588433560194133,2.6009554180285264,12.584420314650677,28.05542734718195,16.727802949855633,21.317699509444896,71.40264306228778,-0.1790592919290897,49.09090909090909,47.368421052631575,Top 50%
10040,Youcef Atal,,Algeria,African Cup of Nations,2023,2020s,['RB'],0,0.070518092,3,0,0.023506030666666667,0,0,0.0,0,0,130,0,0,7,7,0,4,16,0,4,3,8,22,0,0,0.0,0.0,-6.3999999999999995,17.5,0.0916735196,26.0,99,FB,FB,0.16924342080000002,143.0,19.6,30.2,0.0,-0.34066247346250633,0.2131460502705688,0.28227180381044203,-0.15328329863735773,-0.35856858280031795,9.851089437714528,23.83167305929072,23.181415216902725,25.83022572022799,19.849177998457595,0.05370893951844263,65.82278481012658,65.05102040816327,Top 75%
6648,Aïssa Mandi,,Algeria,African Cup of Nations,2023,2020s,['CB'],0,0.46648276,3,0,0.15549425333333333,0,0,0.0,0,0,210,0,0,3,1,0,0,7,0,0,8,7,8,0,2,100.0,0.0,-4.2,5.1000000000000005,0.606427588,18.3,103,CB,CB,1.119558624,231.00000000000003,6.000000000000001,19.8,185.0,-0.09671035502639501,0.7294177453555778,1.4918732102401486,-0.8348784461638245,2.596232066734692,12.5413934191635,30.218650005387744,38.24286174214854,14.547378073704367,71.32036458580215,-0.02294410379714803,55.88235294117647,55.00000000000001,Top 75%
3191,Ramy Bensebaini,,Algeria,African Cup of Nations,2023,2020s,['CB'],0,0.0,0,0,0.0,0,0,0.0,0,0,142,0,0,0,0,0,4,14,0,4,2,4,14,0,0,0.0,0.0,-5.2,0.0,0.0,17.4,98,CB,CB,0.0,156.20000000000002,0.0,20.4,0.0,-0.5081416889009919,-0.03561657087186606,-0.6513812608090788,-0.8068314798373659,-0.39056257428244795,8.00412863658458,20.75414403452832,11.555961053944138,15.011656097333228,19.291858266749205,-0.6609784550901068,25.0,24.705882352941178,Top 25%
12111,Rayan Aït Nouri,,Algeria,African Cup of Nations,2023,2020s,['LB'],0,0.069728709,3,0,0.023242903,0,0,0.0,0,0,200,0,0,2,3,0,2,22,0,2,3,4,40,0,0,0.0,0.0,-11.6,6.199999999999999,0.0906473217,29.0,99,FB,FB,0.1673489016,220.00000000000003,6.8,34.0,0.0,-0.3419491257600107,0.9930831435067768,-0.3355490793348366,-0.007155492187897926,-0.35856858280031795,9.83690023607567,33.480546474838604,15.488570165458485,28.249165736267233,19.849177998457595,0.04447511609239725,64.55696202531645,64.03061224489795,Top 75%
41381,Anthony Louis Mandréa,,Algeria,African Cup of Nations,2023,2020s,['GK'],0,0.0,0,0,0.0,0,0,0.0,0,0,73,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0.0,0.0,-6.6,0.0,0.0,0.0,102,GK,GK,0.0,80.30000000000001,0.0,0.0,0.0,-0.24833224525713826,-0.33413144387254406,0.0,-0.6396021490668314,0.0,10.869307201681378,17.061112574400585,19.66668577290822,17.779902127196255,26.095267876832047,-0.09594032236002471,61.29032258064516,12.025316455696203,Top 25%
270407,Joaquim Marcos Cunga Balanga,,Angola,African Cup of Nations,2023,2020s,['CB'],0,0.0,0,0,0.0,0,0,0.0,0,0,76,0,0,0,1,0,0,9,0,0,2,17,10,0,0,0.0,0.0,-5.3999999999999995,1.2,0.0,22.3,97,CB,CB,0.0,83.60000000000001,1.2,25.0,0.0,-0.5081416889009919,-0.7781498777985026,-0.2227303665992334,-0.5918047380011829,-0.39056257428244795,8.00412863658458,11.568005886341231,16.89334119158502,18.57112094515451,19.291858266749205,-0.5098043542204085,30.88235294117647,30.294117647058822,Top 50%
11515,Ismael Bennacer,,Algeria,African Cup of Nations,2023,2020s,['CM'],0,0.03930074,1,0,0.03930074,0,0,0.0,0,0,43,0,0,2,3,0,0,7,0,0,1,0,10,0,0,0.0,0.0,-4.2,6.199999999999999,0.051090962000000004,6.0,80,CM,CM,0.125762368,47.300000000000004,6.8,7.0,0.0,-0.3907476780036489,-0.4729604332353178,-0.0832448609774668,-0.9141771570922321,-0.5258463403529703,9.298749798065076,15.343610795876813,18.630155875167485,13.23469960582223,16.935281024643107,-0.4124714144317025,38.333333333333336,37.57961783439491,Top 50%
10573,Jonathan Buatu Mananga,,Angola,African Cup of Nations,2023,2020s,['CB'],0,0.56800329,3,0,0.18933443000000003,0,0,0.0,0,0,141,0,0,0,0,0,3,20,0,3,9,22,39,0,1,100.0,0.0,-9.6,0.0,0.7384042770000001,51.9,98,CB,CB,1.363207896,155.10000000000002,0.0,58.9,182.5,-0.007170653551562262,-0.04686707552226958,-0.6513812608090788,0.9928488594437302,2.555869976991217,13.52883725412483,20.61496012319215,11.555961053944138,44.80282928018525,70.6172766625717,0.37781778458439874,67.64705882352942,66.76470588235294,Top 75%
